OrganizationName,OrganizationID,RepositoryURL,bom-ref,type,group,name,version,purl,dependsOn
,,https://github.com/Cloud-Native-Security/website,0007c80a-a39f-4426-944b-a44238488878,library,,any-promise,1.3.0,pkg:npm/any-promise@1.3.0,
,,https://github.com/Cloud-Native-Security/website,00344976-4d75-4162-bbe7-51fb3f68a889,library,,strip-outer,1.0.1,pkg:npm/strip-outer@1.0.1,5e4a3e64-1c24-4c4e-9d8d-aba66e2355fd
,,https://github.com/Cloud-Native-Security/website,003a4ee5-9a92-49a3-bbea-c33c6ac40fcb,library,,webpack-manifest-plugin,4.1.1,pkg:npm/webpack-manifest-plugin@4.1.1,"a5bfe5d7-dc31-474a-a7fb-f6ff525a7493, d73f06d3-825d-44ad-bfd8-265081f8747e"
,,https://github.com/Cloud-Native-Security/website,0042fafc-c369-4612-a126-2c7d77cd6fa0,library,@babel,plugin-transform-react-jsx,7.23.4,pkg:npm/%40babel/plugin-transform-react-jsx@7.23.4,"34637d14-f468-4fe2-b03a-ecd0649e015a, 5c3f61a3-4f3e-42de-bea5-00a1507240a0, b3938863-e3f0-4ca7-94d6-c8a485dca9c4, c5b2b174-4988-4881-bd13-88891f290cae, dd430697-393a-4203-90bf-1f7eb4bdcc15"
,,https://github.com/Cloud-Native-Security/website,0054d2fc-4f07-4b8d-b76c-565f3973479d,library,@material-ui,core,4.12.4,pkg:npm/%40material-ui/core@4.12.4,"30e034bf-7a20-4a46-b86f-2bcbade61991, 33c21ba9-0ff3-476e-abb2-fc2a521388ae, 42828858-70f8-400b-ba83-3e4e108c01d5, 43877f13-f69d-4f86-9a30-b4e1103cbd54, 622b1b3f-b5e0-45cd-bbd0-2ce8577f3afe, 8ea46964-9be5-48ff-831d-6031f586124a, 9a9bc110-59d5-4d18-8c5f-adb699294b8e, a8390c31-a3d2-4e0f-94bd-03f9518218a0, b61b88e2-5e99-4631-8d8b-21293488587e, d1062cd1-6883-4500-afa2-46ba3c72ab68, d57cca90-3ba3-4597-a3a2-48d34050cda9, d9be2362-86e8-47f6-9002-3df367851952"
,,https://github.com/Cloud-Native-Security/website,006a715a-abec-4f8c-82d6-c1e3d06541df,library,,is-negative-zero,2.0.2,pkg:npm/is-negative-zero@2.0.2,
,,https://github.com/Cloud-Native-Security/website,0079146c-5c45-44e1-b859-7aaabcadec22,library,,performance-now,2.1.0,pkg:npm/performance-now@2.1.0,
,,https://github.com/Cloud-Native-Security/website,007c0294-6465-42f8-8b36-e1227fa79260,library,,lines-and-columns,1.2.4,pkg:npm/lines-and-columns@1.2.4,
,,https://github.com/Cloud-Native-Security/website,007d7e94-a964-4c51-9889-c28d2713754c,library,@babel,traverse,7.23.9,pkg:npm/%40babel/traverse@7.23.9,"3dd1306a-3f9a-43e7-abd4-dca29ff610cf, 4ea7bb06-7864-468d-b1cb-eca0bfc42d6c, 584f0475-0e13-4db5-8778-4960ca4ea123, 5e3778a5-ea86-4daa-ac89-5d34b04b1aa0, 784c5a90-52e6-4f50-8af7-5152ae32f405, 84adb933-4dac-4b14-bfe2-9b1bf8264d81, 910c4005-c1d0-4747-977d-e85a8dc0c5b6, b3938863-e3f0-4ca7-94d6-c8a485dca9c4, c37b8a27-b487-46f7-b6a5-f3399d822586, da0c9e49-bd8d-468f-af77-2eb878f0722c"
,,https://github.com/Cloud-Native-Security/website,008fae64-0cb6-46f1-ba0c-ab57da64760f,library,,postcss-discard-comments,5.1.2,pkg:npm/postcss-discard-comments@5.1.2,
,,https://github.com/Cloud-Native-Security/website,009a2eb4-9864-44cf-8240-ee080a595d33,library,,confusing-browser-globals,1.0.11,pkg:npm/confusing-browser-globals@1.0.11,
,,https://github.com/Cloud-Native-Security/website,00ccbcae-bf60-42b1-96c9-49d94cf82d8e,library,,error-ex,1.3.2,pkg:npm/error-ex@1.3.2,2820c5af-8836-4c6a-8c8c-3dc63d98c4d4
,,https://github.com/Cloud-Native-Security/website,00cd02ea-5473-427c-98ba-5cc100d758d6,library,,postcss-merge-rules,5.1.4,pkg:npm/postcss-merge-rules@5.1.4,"0b47e891-c76b-452c-accb-fd4d4dbaaccc, 39f11f72-e630-4b4b-bbc3-2d5a0c5db0c1, 6f24762f-d65a-4139-9efd-3821cf04009a, f660a84f-953b-4b6f-ac92-fe9d9607fb14"
,,https://github.com/Cloud-Native-Security/website,00df8ad3-4100-49b7-8ba6-c89754c58625,library,,webpack-sources,2.3.1,pkg:npm/webpack-sources@2.3.1,"cb788afc-971b-410a-a1b4-480c6a7df3b2, d55f8e37-6645-4962-a58e-12cb1dd2b439"
,,https://github.com/Cloud-Native-Security/website,00ef54a2-9e7e-4974-993d-54db8562ff67,library,@babel,plugin-transform-modules-systemjs,7.23.9,pkg:npm/%40babel/plugin-transform-modules-systemjs@7.23.9,"1e5a4fe9-7bbf-4c6e-b07f-3f825dcf4273, 5c3f61a3-4f3e-42de-bea5-00a1507240a0, 84adb933-4dac-4b14-bfe2-9b1bf8264d81, fdb651b7-94c7-4b64-8253-ba60e3eb9a27"
,,https://github.com/Cloud-Native-Security/website,00f6210d-5417-4df8-bc77-4e378fd53cc3,library,,get-symbol-description,1.0.1,pkg:npm/get-symbol-description@1.0.1,"c49cc8a6-6afa-49cc-a6a9-44a9883b2e83, d3a7b6cc-e17b-40d5-93dd-d4d866dbb2c8"
,,https://github.com/Cloud-Native-Security/website,00f8ad3c-e19b-49cc-9cbf-9ac62103d22f,library,@jest,console,28.1.3,pkg:npm/%40jest/console@28.1.3,"428b7184-a211-49b2-b35c-0db65f3bb7db, 731b54e0-a7ce-4c3b-aee5-2027d8ad0d8f, 79f471ce-79fd-495d-8d64-dbb5d1a7b3a3, 84843111-98cb-4de7-a256-971b4f4ae3d9, ad88a438-b88f-4899-b963-3f8b9b89edde, f494d38d-047d-4e34-88fe-381763c9b410"
